Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Friday,31-50,Male,Junior high school,Unknown,Below 1yr,Automobile,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Friday,Over 51,Male,High school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Saturday,31-50,Male,Above high school,Employee,1-2yr,Other,Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Other,Slight Injury,6
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,6
Saturday,18-30,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane to the left,Slight Injury,11
Saturday,31-50,Unknown,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,11
Sunday,Unknown,Male,Above high school,Other,2-5yr,Stationwagen,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,1
Sunday,18-30,Male,High school,Employee,Above 10yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,1
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,8
Sunday,18-30,Male,High school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,U-Turn,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Tuesday,Unknown,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,7
Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,7
Monday,18-30,Male,Above high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Monday,Unknown,Male,Above high school,Employee,2-5yr,Pick up upto 10Q,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Monday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,7
Monday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Stopping,Not a Pedestrian,Other,Serious Injury,7
Thursday,31-50,Male,Junior high school,Employee,Unknown,Automobile,Organization,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Other,Slight Injury,8
Thursday,Unknown,Male,Unknown,Unknown,Unknown,Lorry (11?40Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,No distancing,Slight Injury,8
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Bajaj,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Overtaking,Slight Injury,17
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,7
Tuesday,18-30,Male,High school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No distancing,Slight Injury,7
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,0
Thursday,Unknown,Female,Junior high school,Employee,5-10yr,Unknown,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,U-Turn,Not a Pedestrian,Changing lane to the right,Slight Injury,0
Thursday,Unknown,Female,Illiterate,Employee,unknown,Automobile,Unknown,Unknown,Unknown, Church areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Overtaking,Slight Injury,0
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,11
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,U-Turn,Not a Pedestrian,Driving to the left,Slight Injury,11
Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Stopping,Not a Pedestrian,Driving at high speed,Slight Injury,20
Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,5-10yrs,Unknown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Unknown,Slight Injury,20
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Tuesday,Unknown,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,No distancing,Slight Injury,17
Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Other,Slight Injury,22
Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,Changing lane to the left,Slight Injury,12
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury,8
Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,8
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Organization,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,10
Thursday,18-30,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,14
Thursday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,5-10yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,23
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,23
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury,22
Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,22
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Overturning,Slight Injury,10
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,15
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,2-5yrs,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the left,Slight Injury,15
Friday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Friday,18-30,Male,Unknown,Owner,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,17
Friday,Unknown,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,Moving Backward,Slight Injury,17
Friday,Over 51,Male,Above high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,7
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,7
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,14
Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,12
Monday,31-50,Male,Elementary school,Employee,2-5yr,Turbo,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,12
Monday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,Getting off,Not a Pedestrian,Driving carelessly,Slight Injury,12
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Above 10yr,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Driving carelessly,Slight Injury,12
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,15
Tuesday,Unknown,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Unknown,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Other,Slight Injury,9
Wednesday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Unknown or other,Changing lane to the right,Slight Injury,9
Wednesday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Serious Injury,17
Friday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Slight Injury,14
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No distancing,Slight Injury,14
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overturning,Serious Injury,8
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Driving at high speed,Serious Injury,8
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Thursday,31-50,Male,Elementary school,Other,5-10yr,Automobile,Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,12
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20
Friday,31-50,Male,High school,Owner,5-10yr,Public (13?45 seats),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Other,Slight Injury,2
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Other,Serious Injury,13
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Governmental,1-2yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,0
Sunday,18-30,Male,Junior high school,Other,Below 1yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,0
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury,0
Sunday,18-30,Male,High school,Owner,5-10yr,Lorry (11?40Q),Owner,Unknown,7,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury,13
Sunday,18-30,Male,Elementary school,Owner,5-10yr,Automobile,Governmental,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Driving carelessly,Slight Injury,13
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Unknown,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Other,Not a Pedestrian,No distancing,Slight Injury,13
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Other,Organization,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Other,Slight Injury,14
Sunday,18-30,Male,Above high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Other,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Unknown or other,Changing lane to the right,Slight Injury,14
Thursday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,12
Thursday,18-30,Male,Unknown,Unknown,Unknown,Motorcycle,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Driving carelessly,Slight Injury,12
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No distancing,Slight Injury,12
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,18
